epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
1,1,1,0.98011237,0.98011237
1,1,1,0.98011237,0.98011237
1,1,1,0.98011237,0.98011237
1,1,1,0.98011237,0.98011237
1,2,2,2.95766234,1.96888736
1,2,2,2.95766234,1.96888736
1,2,2,2.95766234,1.96888736
1,2,2,2.95766234,1.96888736
1,3,3,0.85146201,1.59641224
1,3,3,0.85146201,1.59641224
1,3,3,0.85146201,1.59641224
1,3,3,0.85146201,1.59641224
1,4,4,1.94793642,1.68429329
1,4,4,1.94793642,1.68429329
1,4,4,1.94793642,1.68429329
1,4,4,1.94793642,1.68429329
1,5,5,0.98388696,1.54421202
1,5,5,0.98388696,1.54421202
1,5,5,0.98388696,1.54421202
1,5,5,0.98388696,1.54421202
1,6,6,1.38463879,1.62511730
1,6,6,1.38463879,1.62511730
1,6,6,1.38463879,1.62511730
1,6,6,1.38463879,1.62511730
1,7,7,2.33897400,1.50137963
1,7,7,2.33897400,1.50137963
1,7,7,2.33897400,1.50137963
1,7,7,2.33897400,1.50137963
1,8,8,2.06678581,1.74444439
1,8,8,2.06678581,1.74444439
1,8,8,2.06678581,1.74444439
1,8,8,2.06678581,1.74444439
1,9,9,0.63484985,1.48182708
1,9,9,0.63484985,1.48182708
1,9,9,0.63484985,1.48182708
1,9,9,0.63484985,1.48182708
1,10,10,1.72264957,1.62957960
1,10,10,1.72264957,1.62957960
1,10,10,1.72264957,1.62957960
1,10,10,1.72264957,1.62957960
1,11,11,1.35997546,1.62464694
1,11,11,1.35997546,1.62464694
1,11,11,1.35997546,1.62464694
1,11,11,1.35997546,1.62464694
1,12,12,0.24751234,1.20635461
1,12,12,0.24751234,1.20635461
1,12,12,0.24751234,1.20635461
1,12,12,0.24751234,1.20635461
1,13,13,1.46039855,1.08507715
1,13,13,1.46039855,1.08507715
1,13,13,1.46039855,1.08507715
1,13,13,1.46039855,1.08507715
2,1,14,0.00498706,0.95910460
2,1,14,0.00498706,0.95910460
2,1,14,0.00498706,0.95910460
2,1,14,0.00498706,0.95910460
2,2,15,0.35647425,0.68586953
2,2,15,0.35647425,0.68586953
2,2,15,0.35647425,0.68586953
2,2,15,0.35647425,0.68586953
2,3,16,0.84899920,0.58367428
2,3,16,0.84899920,0.58367428
2,3,16,0.84899920,0.58367428
2,3,16,0.84899920,0.58367428
2,4,17,1.36616278,0.80740437
2,4,17,1.36616278,0.80740437
2,4,17,1.36616278,0.80740437
2,4,17,1.36616278,0.80740437
2,5,18,0.00247496,0.51581965
2,5,18,0.00247496,0.51581965
2,5,18,0.00247496,0.51581965
2,5,18,0.00247496,0.51581965
2,6,19,1.36855125,0.78853249
2,6,19,1.36855125,0.78853249
2,6,19,1.36855125,0.78853249
2,6,19,1.36855125,0.78853249
2,7,20,-0.33189744,0.65085815
2,7,20,-0.33189744,0.65085815
2,7,20,-0.33189744,0.65085815
2,7,20,-0.33189744,0.65085815
2,8,21,1.85007489,0.85107329
2,8,21,1.85007489,0.85107329
2,8,21,1.85007489,0.85107329
2,8,21,1.85007489,0.85107329
2,9,22,1.23503733,0.82484820
