epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
1,1,1,1.10709786,1.10709786
1,1,1,1.10709786,1.10709786
1,2,2,3.53716803,2.32213295
1,2,2,3.53716803,2.32213295
1,3,3,1.14536285,1.92987625
1,3,3,1.14536285,1.92987625
1,4,4,1.50597811,1.82390171
1,4,4,1.50597811,1.82390171
1,5,5,0.68319321,1.59576001
1,5,5,0.68319321,1.59576001
1,6,6,2.78299403,1.93093925
1,6,6,2.78299403,1.93093925
1,7,7,1.87634277,1.59877419
1,7,7,1.87634277,1.59877419
1,8,8,-1.07323027,1.15505557
1,8,8,-1.07323027,1.15505557
1,9,9,1.73924351,1.20170865
1,9,9,1.73924351,1.20170865
1,10,10,1.55282354,1.37563472
1,10,10,1.55282354,1.37563472
1,11,11,0.50579464,0.92019484
1,11,11,0.50579464,0.92019484
1,12,12,1.02754569,0.75043542
1,12,12,1.02754569,0.75043542
1,13,13,0.08202642,0.98148676
1,13,13,0.08202642,0.98148676
2,1,14,0.39653376,0.71294481
2,1,14,0.39653376,0.71294481
2,2,15,-0.98106450,0.20616720
2,2,15,-0.98106450,0.20616720
2,3,16,0.47620457,0.20024919
2,3,16,0.47620457,0.20024919
2,4,17,0.76048720,0.14683749
2,4,17,0.76048720,0.14683749
2,5,18,0.43061388,0.21655498
2,5,18,0.43061388,0.21655498
2,6,19,0.73177832,0.28360389
2,6,19,0.73177832,0.28360389
2,7,20,-0.26837343,0.42614211
2,7,20,-0.26837343,0.42614211
2,8,21,0.15497124,0.36189544
2,8,21,0.15497124,0.36189544
2,9,22,-0.14529723,0.18073856
2,9,22,-0.14529723,0.18073856
2,10,23,0.46560472,0.18773673
2,10,23,0.46560472,0.18773673
2,11,24,1.36825037,0.31503114
2,11,24,1.36825037,0.31503114
2,12,25,1.09758663,0.58822315
2,12,25,1.09758663,0.58822315
2,13,26,-0.62484694,0.43225951
2,13,26,-0.62484694,0.43225951
3,1,27,-0.94353461,0.27261204
3,1,27,-0.94353461,0.27261204
3,2,28,0.37136191,0.25376347
3,2,28,0.37136191,0.25376347
3,3,29,0.93163884,0.16644117
3,3,29,0.93163884,0.16644117
3,4,30,-0.20320708,-0.09371758
3,4,30,-0.20320708,-0.09371758
3,5,31,0.33416265,0.09808434
3,5,31,0.33416265,0.09808434
3,6,32,0.91398495,0.46958826
3,6,32,0.91398495,0.46958826
3,7,33,1.62237811,0.71979150
3,7,33,1.62237811,0.71979150
3,8,34,2.58355117,1.05017396
3,8,34,2.58355117,1.05017396
3,9,35,1.65062833,1.42094104
3,9,35,1.65062833,1.42094104
3,10,36,0.21263772,1.39663606
3,10,36,0.21263772,1.39663606
3,11,37,0.89127403,1.39209387
3,11,37,0.89127403,1.39209387
3,12,38,1.54448128,1.37651451
3,12,38,1.54448128,1.37651451
3,13,39,2.70051384,1.39990704
3,13,39,2.70051384,1.39990704
4,1,40,2.33553457,1.53688829
4,1,40,2.33553457,1.53688829
4,2,41,2.13386726,1.92113420
4,2,41,2.13386726,1.92113420
4,3,42,0.46273226,1.83542584
4,3,42,0.46273226,1.83542584
4,4,43,3.24738598,2.17600678
4,4,43,3.24738598,2.17600678
4,5,44,1.34548271,1.90500056
4,5,44,1.34548271,1.90500056
4,6,45,2.26182795,1.89025923
4,6,45,2.26182795,1.89025923
4,7,46,1.77775717,1.81903721
4,7,46,1.77775717,1.81903721
4,8,47,1.58922482,2.04433572
